Parent1,Parent2,Child
Elphidran Aqua,Foxcicle,Nyafia 
Woolipop,Frostallion Noct,Nyafia 
Cryolinx,Wixen,Nyafia 
Cryolinx,Rooby,Nyafia 
Melpaca,Sweepa,Nyafia 
Melpaca,Azurmane,Nyafia 
Surfent,Rayhound,Nyafia 
Surfent,Shroomer Noct,Nyafia 
Surfent,Splatterina,Nyafia 
Surfent,Kitsun Noct,Nyafia 
Surfent Terra,Tombat,Nyafia 
Surfent Terra,Rayhound,Nyafia 
Surfent Terra,Kitsun Noct,Nyafia 
Cawgnito,Lyleen Noct,Nyafia 
Cawgnito,Beakon,Nyafia 
Cawgnito,Silvegis,Nyafia 
Azurobe,Arsox,Nyafia 
Azurobe,Chillet,Nyafia 
Azurobe,Chillet Ignis,Nyafia 
Azurobe,Croajiro,Nyafia 
Fenglope,Reptyro,Nyafia 
Reptyro Cryst,Beegarde,Nyafia 
Maraith,Astegon,Nyafia 
Maraith,Orserk,Nyafia 
Robinquill,Relaxaurus,Nyafia 
Robinquill,Relaxaurus Lux,Nyafia 
Robinquill,Warsect Terra,Nyafia 
Robinquill,Knocklem,Nyafia 
Robinquill,Xenolord ,Nyafia 
Robinquill Terra,Mammorest,Nyafia 
Robinquill Terra,Mammorest Cryst,Nyafia 
Relaxaurus,Felbat,Nyafia 
Kitsun,Wumpo,Nyafia 
Kitsun,Kingpaca,Nyafia 
Kitsun,Xenovader,Nyafia 
Leezpunk,Helzephyr Lux,Nyafia 
Leezpunk,Bastigor,Nyafia 
Leezpunk Ignis,Astegon,Nyafia 
Leezpunk Ignis,Cryolinx Terra,Nyafia 
Vanwyrm,Bushi,Nyafia 
Vanwyrm,Omascul,Nyafia 
Vanwyrm Cryst,Blazehowl Noct,Nyafia 
Vanwyrm Cryst,Dogen,Nyafia 
Vanwyrm Cryst,Dazemu,Nyafia 
Dinossom,Wumpo Botan,Nyafia 
Dinossom,Kingpaca,Nyafia 
Dinossom,Xenovader,Nyafia 
Dinossom Lux,Wumpo Botan,Nyafia 
Dinossom Lux,Cinnamoth,Nyafia 
Frostallion,Nox,Nyafia 
Frostallion Noct,Mimog,Nyafia 
Mammorest,Verdash,Nyafia 
Mammorest Cryst,Felbat,Nyafia 
Felbat,Warsect Terra,Nyafia 
Broncherry,Mossanda,Nyafia 
Broncherry,Kingpaca Cryst,Nyafia 
Broncherry,Xenogard,Nyafia 
Broncherry Aqua,Sibelyx,Nyafia 
Broncherry Aqua,Wumpo,Nyafia 
Faleris,Caprity,Nyafia 
Blazamut,Killamari,Nyafia 
Blazamut,Flopie,Nyafia 
Blazamut Ryu,Killamari,Nyafia 
Blazamut Ryu,Flopie,Nyafia 
Caprity,Prixter,Nyafia 
Caprity,Starryon,Nyafia 
Reindrix,Nitewing,Nyafia 
Reindrix,Sweepa,Nyafia 
Shadowbeak,Daedream,Nyafia 
Shadowbeak,Gumoss,Nyafia 
Sibelyx,Fenglope Lux,Nyafia 
Wixen,Orserk,Nyafia 
Wixen Noct,Astegon,Nyafia 
Wixen Noct,Orserk,Nyafia 
Lovander,Quivern,Nyafia 
Lovander,Selyne,Nyafia 
Lovander,Prixter,Nyafia 
Killamari,Bellanoir,Nyafia 
Killamari,Bellanoir Libero,Nyafia 
Mozzarina,Mossanda Lux,Nyafia 
Mozzarina,Ragnahawk,Nyafia 
Wumpo,Tarantriss,Nyafia 
Wumpo,Fenglope Lux,Nyafia 
Wumpo Botan,Celesdir,Nyafia 
Wumpo Botan,Loupmoon Cryst,Nyafia 
Vaelet,Lyleen,Nyafia 
Vaelet,Menasting Terra,Nyafia 
Vaelet,Faleris Aqua,Nyafia 
Nitewing,Celaray,Nyafia 
Beegarde,Beakon,Nyafia 
Beegarde,Silvegis,Nyafia 
Tombat,Sootseer,Nyafia 
Mossanda,Celaray,Nyafia 
Mossanda,Caprity Noct,Nyafia 
Mossanda Lux,Dumud,Nyafia 
Mossanda Lux,Lullu,Nyafia 
Arsox,Grintale,Nyafia 
Rayhound,Sootseer,Nyafia 
Fuddler,Paladius,Nyafia 
Fuddler,Necromus,Nyafia 
Jetragon,Mimog,Nyafia 
Jetragon,Ribbuny Botan,Nyafia 
Daedream,Necromus,Nyafia 
Blazehowl Noct,Omascul,Nyafia 
Kingpaca,Celesdir,Nyafia 
Kingpaca,Tarantriss,Nyafia 
Kingpaca Cryst,Caprity Noct,Nyafia 
Swee,Bellanoir,Nyafia 
Swee,Bellanoir Libero,Nyafia 
Warsect ,Yakumo,Nyafia 
Paladius,Ribbuny Botan,Nyafia 
Penking,Petallia,Nyafia 
Chillet,Cinnamoth,Nyafia 
Chillet Ignis,Grintale,Nyafia 
Quivern,Yakumo,Nyafia 
Quivern Botan,Yakumo,Nyafia 
Helzephyr Lux,Dazzi Noct,Nyafia 
Ragnahawk,Lullu,Nyafia 
Bushi,Bushi Noct,Nyafia 
Petallia,Grintale,Nyafia 
Cinnamoth,Croajiro,Nyafia 
Cinnamoth,Loupmoon Cryst,Nyafia 
Orserk,Rooby,Nyafia 
Dumud,Azurmane,Nyafia 
Selyne,Yakumo,Nyafia 
Kikit,Cryolinx Terra,Nyafia 
Kikit,Bastigor,Nyafia 
Prixter,Yakumo,Nyafia 
Dogen,Omascul,Nyafia 
Xenovader,Tarantriss,Nyafia 
Xenovader,Fenglope Lux,Nyafia 
Xenogard,Caprity Noct,Nyafia 
Dazzi Noct,Bastigor,Nyafia 
Nyafia ,Broncherry,Prunelia
Prunelia,Prunelia,Prunelia
Prunelia,Tombat,Prunelia
Gildane,Robinquill Terra,Prunelia
Anubis,Lovander,Prunelia
Incineram,Eikthyrdeer,Prunelia
Incineram Noct,Caprity,Prunelia
Mau,Suzaku Aqua,Prunelia
Mau Cryst,Necromus,Prunelia
Rushoar,Ragnahawk,Prunelia
Lifmunk,Paladius,Prunelia
Tocotoco,Bastigor,Prunelia
Digtoise,Vanwyrm,Prunelia
Galeclaw,Wumpo Botan,Prunelia
Grizzbolt,Ribbuny,Prunelia
Grizzbolt,Foxparks Cryst,Prunelia
Direhowl,Sibelyx,Prunelia
Gorirat,Kingpaca,Prunelia
Gorirat,Xenovader,Prunelia
Gorirat Terra,Wumpo Botan,Prunelia
Jolthog,Orserk,Prunelia
Jolthog Cryst,Astegon,Prunelia
Univolt,Kitsun,Prunelia
Univolt,Tarantriss,Prunelia
Bristla,Helzephyr,Prunelia
Lunaris,Azurmane,Prunelia
Pengullet,Cryolinx Terra,Prunelia
Dazzi,Mammorest,Prunelia
Gobfin,Nitewing,Prunelia
Gobfin Ignis,Sweepa,Prunelia
Jormuntide,Mimog,Prunelia
Jormuntide Ignis,Woolipop,Prunelia
Loupmoon,Surfent,Prunelia
Hangyu,Jetragon,Prunelia
Hangyu Cryst,Jetragon,Prunelia
Suzaku,Cattiva,Prunelia
Suzaku,Cremis,Prunelia
Pyrin,Maraith,Prunelia
Pyrin,Wixen Noct,Prunelia
Pyrin Noct,Kelpsea Ignis,Prunelia
Elphidran Aqua,Fenglope,Prunelia
Woolipop,Reptyro,Prunelia
Cryolinx,Depresso,Prunelia
Melpaca,Vanwyrm Cryst,Prunelia
Surfent,Yakumo,Prunelia
Cawgnito,Mossanda,Prunelia
Azurobe,Felbat,Prunelia
Reptyro Cryst,Flopie,Prunelia
Maraith,Prixter,Prunelia
Robinquill,Cinnamoth,Prunelia
Robinquill Terra,Grintale,Prunelia
Relaxaurus,Daedream,Prunelia
Relaxaurus Lux,Gumoss,Prunelia
Kitsun,Dazemu,Prunelia
Leezpunk,Mossanda Lux,Prunelia
Leezpunk Ignis,Faleris,Prunelia
Leezpunk Ignis,Starryon,Prunelia
Fuack,Helzephyr Lux,Prunelia
Chikipi,Blazamut,Prunelia
Chikipi,Blazamut Ryu,Prunelia
Dinossom,Katress Ignis,Prunelia
Dinossom Lux,Katress,Prunelia
Sparkit,Frostallion Noct,Prunelia
Frostallion,Hoocrates,Prunelia
Frostallion Noct,Flambelle,Prunelia
Mammorest,Ribbuny Botan,Prunelia
Mammorest Cryst,Fuddler,Prunelia
Broncherry,Bushi Noct,Prunelia
Broncherry Aqua,Blazehowl Noct,Prunelia
Broncherry Aqua,Dogen,Prunelia
Reindrix,Omascul,Prunelia
Shadowbeak,Vixy,Prunelia
Wixen,Quivern,Prunelia
Wixen,Selyne,Prunelia
Wixen Noct,Prixter,Prunelia
Kelpsea,Lyleen,Prunelia
Kelpsea,Menasting Terra,Prunelia
Kelpsea,Faleris Aqua,Prunelia
Killamari,Beakon,Prunelia
Killamari,Silvegis,Prunelia
Wumpo,Vaelet,Prunelia
Lyleen Noct,Swee,Prunelia
Elizabee,Nox,Prunelia
Beegarde,Kingpaca Cryst,Prunelia
Beegarde,Xenogard,Prunelia
Tombat,Foxcicle,Prunelia
Mossanda Lux,Dazzi Noct,Prunelia
Arsox,Shroomer,Prunelia
Verdash,Penking,Prunelia
Daedream,Warsect Terra,Prunelia
Tanzee,Menasting,Prunelia
Blazehowl,Chillet,Prunelia
Blazehowl,Croajiro,Prunelia
Blazehowl Noct,Fenglope Lux,Prunelia
Gumoss,Knocklem,Prunelia
Gumoss,Xenolord ,Prunelia
Katress,Loupmoon Cryst,Prunelia
Katress Ignis,Celesdir,Prunelia
Chillet,Nitemary,Prunelia
Chillet Ignis,Shroomer,Prunelia
Quivern,Rooby,Prunelia
Ragnahawk,Kikit,Prunelia
Bushi,Celaray,Prunelia
Bushi Noct,Caprity Noct,Prunelia
Petallia,Shroomer Noct,Prunelia
Petallia,Splatterina,Prunelia
Menasting,Smokie,Prunelia
Rooby,Prixter,Prunelia
Knocklem,Smokie,Prunelia
Dazemu,Fenglope Lux,Prunelia
Xenolord ,Smokie,Prunelia
Nitemary,Loupmoon Cryst,Prunelia
Nyafia ,Pyrin,Gildane
Nyafia ,Starryon,Gildane
Prunelia,Lyleen,Gildane
Prunelia,Menasting Terra,Gildane
Gildane,Gildane,Gildane
Gildane,Azurobe,Gildane
Anubis,Kingpaca Cryst,Gildane
Anubis,Xenogard,Gildane
Incineram,Nitewing,Gildane
Incineram Noct,Mossanda,Gildane
Eikthyrdeer,Jetragon,Gildane
Digtoise,Cryolinx Terra,Gildane
Grizzbolt,Dinossom Lux,Gildane
Grizzbolt,Loupmoon Cryst,Gildane
Univolt,Elizabee,Gildane
Jormuntide,Katress,Gildane
Jormuntide Ignis,Katress Ignis,Gildane
Loupmoon,Shadowbeak,Gildane
Suzaku Aqua,Fenglope,Gildane
Pyrin,Bushi Noct,Gildane
Elphidran,Kingpaca,Gildane
Elphidran,Xenovader,Gildane
Elphidran Aqua,Wumpo Botan,Gildane
Cryolinx,Reindrix,Gildane
Melpaca,Frostallion,Gildane
Surfent,Sibelyx,Gildane
Surfent Terra,Wumpo,Gildane
Azurobe,Grintale,Gildane
Reptyro,Katress Ignis,Gildane
Reptyro Cryst,Petallia,Gildane
Robinquill Terra,Blazamut,Gildane
Robinquill Terra,Blazamut Ryu,Gildane
Relaxaurus,Shroomer Noct,Gildane
Relaxaurus,Splatterina,Gildane
Relaxaurus Lux,Rayhound,Gildane
Relaxaurus Lux,Kitsun Noct,Gildane
Kitsun,Helzephyr Lux,Gildane
Vanwyrm,Quivern,Gildane
Vanwyrm,Selyne,Gildane
Vanwyrm Cryst,Mossanda Lux,Gildane
Dinossom,Helzephyr,Gildane
Frostallion Noct,Mozzarina,Gildane
Frostallion Noct,Lullu,Gildane
Mammorest,Blazehowl,Gildane
Mammorest,Nitemary,Gildane
Mammorest Cryst,Shroomer,Gildane
Felbat,Bellanoir,Gildane
Felbat,Bellanoir Libero,Gildane
Broncherry,Astegon,Gildane
Broncherry Aqua,Bastigor,Gildane
Faleris,Bushi,Gildane
Caprity,Paladius,Gildane
Shadowbeak,Yakumo,Gildane
Lovander,Necromus,Gildane
Wumpo,Sootseer,Gildane
Lyleen,Foxcicle,Gildane
Lyleen Noct,Chillet,Gildane
Lyleen Noct,Croajiro,Gildane
Elizabee,Dazemu,Gildane
Tombat,Menasting,Gildane
Arsox,Beakon,Gildane
Arsox,Silvegis,Gildane
Rayhound,Knocklem,Gildane
Rayhound,Xenolord ,Gildane
Astegon,Caprity Noct,Gildane
Foxcicle,Menasting Terra,Gildane
Foxcicle,Faleris Aqua,Gildane
Blazehowl Noct,Warsect ,Gildane
Blazehowl Noct,Quivern Botan,Gildane
Beakon,Chillet Ignis,Gildane
Warsect ,Dogen,Gildane
Warsect Terra,Shroomer Noct,Gildane
Warsect Terra,Kitsun Noct,Gildane
Penking,Cinnamoth,Gildane
Chillet Ignis,Silvegis,Gildane
Quivern Botan,Dogen,Gildane
Helzephyr,Celesdir,Gildane
Helzephyr Lux,Tarantriss,Gildane
Ragnahawk,Omascul,Gildane
Bushi,Starryon,Gildane
Bushi Noct,Prixter,Gildane
Celaray,Orserk,Gildane
Selyne,Dogen,Gildane
Croajiro,Silvegis,Gildane
Sootseer,Xenovader,Gildane
Fenglope Lux,Bastigor,Gildane
Nyafia ,Gildane,Anubis
Nyafia ,Azurobe,Anubis
Nyafia ,Grintale,Anubis
Nyafia ,Cinnamoth,Anubis
Prunelia,Mossanda Lux,Anubis
Prunelia,Ragnahawk,Anubis
Prunelia,Azurmane,Anubis
Gildane,Bushi,Anubis
Gildane,Bushi Noct,Anubis
Gildane,Omascul,Anubis
Anubis,Anubis,Anubis
Anubis,Incineram,Anubis
Anubis,Incineram Noct,Anubis
Anubis,Surfent,Anubis
Incineram,Elphidran,Anubis
Incineram,Surfent,Anubis
Incineram,Surfent Terra,Anubis
Incineram,Sootseer,Anubis
Incineram Noct,Surfent,Anubis
Incineram Noct,Surfent Terra,Anubis
Rushoar,Suzaku Aqua,Anubis
Rushoar,Blazamut,Anubis
Rushoar,Blazamut Ryu,Anubis
Rushoar,Bellanoir,Anubis
Rushoar,Bellanoir Libero,Anubis
Eikthyrdeer,Pyrin Noct,Anubis
Eikthyrdeer,Reptyro Cryst,Anubis
Eikthyrdeer,Lyleen Noct,Anubis
Eikthyrdeer,Beakon,Anubis
Eikthyrdeer,Silvegis,Anubis
Eikthyrdeer Terra,Pyrin Noct,Anubis
Eikthyrdeer Terra,Reptyro Cryst,Anubis
Eikthyrdeer Terra,Lyleen,Anubis
Eikthyrdeer Terra,Menasting,Anubis
Eikthyrdeer Terra,Menasting Terra,Anubis
Eikthyrdeer Terra,Faleris Aqua,Anubis
Digtoise,Jormuntide,Anubis
Digtoise,Relaxaurus,Anubis
Digtoise,Mammorest,Anubis
Digtoise,Mammorest Cryst,Anubis
Galeclaw,Cryolinx,Anubis
Galeclaw,Frostallion,Anubis
Galeclaw,Frostallion Noct,Anubis
Grizzbolt,Loupmoon,Anubis
Grizzbolt,Caprity,Anubis
Grizzbolt,Lovander,Anubis
Grizzbolt,Yakumo,Anubis
Direhowl,Frostallion Noct,Anubis
Direhowl,Jetragon,Anubis
Direhowl,Paladius,Anubis
Direhowl,Necromus,Anubis
Gorirat,Frostallion,Anubis
Gorirat,Frostallion Noct,Anubis
Gorirat,Jetragon,Anubis
Gorirat Terra,Cryolinx,Anubis
Gorirat Terra,Frostallion,Anubis
Gorirat Terra,Frostallion Noct,Anubis
Univolt,Sibelyx,Anubis
Univolt,Wumpo,Anubis
Univolt,Wumpo Botan,Anubis
Univolt,Kingpaca,Anubis
Univolt,Xenovader,Anubis
Lunaris,Suzaku,Anubis
Lunaris,Suzaku Aqua,Anubis
Gobfin,Suzaku,Anubis
Gobfin,Shadowbeak,Anubis
Gobfin,Necromus,Anubis
Gobfin Ignis,Suzaku,Anubis
Gobfin Ignis,Suzaku Aqua,Anubis
Gobfin Ignis,Shadowbeak,Anubis
Jormuntide,Kitsun,Anubis
Jormuntide,Dinossom,Anubis
Jormuntide,Broncherry Aqua,Anubis
Jormuntide,Tarantriss,Anubis
Jormuntide,Fenglope Lux,Anubis
Jormuntide Ignis,Kitsun,Anubis
Jormuntide Ignis,Dinossom,Anubis
Jormuntide Ignis,Broncherry Aqua,Anubis
Jormuntide Ignis,Celesdir,Anubis
Jormuntide Ignis,Tarantriss,Anubis
Jormuntide Ignis,Fenglope Lux,Anubis
Loupmoon,Lyleen Noct,Anubis
Loupmoon,Helzephyr,Anubis
Loupmoon,Helzephyr Lux,Anubis
Suzaku,Cawgnito,Anubis
Suzaku Aqua,Leezpunk,Anubis
Suzaku Aqua,Kikit,Anubis
Suzaku Aqua,Dazzi Noct,Anubis
Pyrin,Arsox,Anubis
Pyrin,Chillet,Anubis
Pyrin,Chillet Ignis,Anubis
Pyrin,Petallia,Anubis
Pyrin,Croajiro,Anubis
Pyrin Noct,Melpaca,Anubis
Pyrin Noct,Mozzarina,Anubis
Pyrin Noct,Dumud,Anubis
Pyrin Noct,Lullu,Anubis
Elphidran,Vanwyrm Cryst,Anubis
Elphidran Aqua,Vanwyrm Cryst,Anubis
Elphidran Aqua,Omascul,Anubis
Cryolinx,Robinquill,Anubis
Cryolinx,Robinquill Terra,Anubis
Cryolinx,Felbat,Anubis
Melpaca,Relaxaurus Lux,Anubis
Melpaca,Lyleen,Anubis
Melpaca,Menasting,Anubis
Melpaca,Menasting Terra,Anubis
Melpaca,Knocklem,Anubis
Melpaca,Xenolord ,Anubis
Melpaca,Faleris Aqua,Anubis
Cawgnito,Shadowbeak,Anubis
Cawgnito,Paladius,Anubis
Cawgnito,Necromus,Anubis
Azurobe,Vanwyrm,Anubis
Azurobe,Bushi,Anubis
Azurobe,Bushi Noct,Anubis
Azurobe,Omascul,Anubis
Fenglope,Astegon,Anubis
Fenglope,Helzephyr Lux,Anubis
Fenglope,Cryolinx Terra,Anubis
Fenglope,Bastigor,Anubis
Reptyro,Kitsun,Anubis
Reptyro,Dinossom,Anubis
Reptyro,Dinossom Lux,Anubis
Reptyro,Broncherry Aqua,Anubis
Reptyro,Celesdir,Anubis
Reptyro,Tarantriss,Anubis
Reptyro,Fenglope Lux,Anubis
Reptyro Cryst,Caprity,Anubis
Reptyro Cryst,Mozzarina,Anubis
Reptyro Cryst,Lullu,Anubis
Maraith,Blazamut,Anubis
Maraith,Blazamut Ryu,Anubis
Maraith,Bellanoir,Anubis
Maraith,Bellanoir Libero,Anubis
Robinquill,Frostallion,Anubis
Robinquill,Orserk,Anubis
Robinquill Terra,Astegon,Anubis
Robinquill Terra,Orserk,Anubis
Robinquill Terra,Cryolinx Terra,Anubis
Relaxaurus,Broncherry,Anubis
Relaxaurus,Reindrix,Anubis
Relaxaurus,Celaray,Anubis
Relaxaurus,Caprity Noct,Anubis
Relaxaurus Lux,Broncherry,Anubis
Relaxaurus Lux,Reindrix,Anubis
Relaxaurus Lux,Celaray,Anubis
Kitsun,Mammorest,Anubis
Kitsun,Elizabee,Anubis
Leezpunk,Blazamut,Anubis
Leezpunk,Blazamut Ryu,Anubis
Leezpunk Ignis,Blazamut,Anubis
Leezpunk Ignis,Blazamut Ryu,Anubis
Leezpunk Ignis,Bellanoir,Anubis
Leezpunk Ignis,Bellanoir Libero,Anubis
Vanwyrm,Wumpo Botan,Anubis
Vanwyrm,Kingpaca,Anubis
Vanwyrm,Cinnamoth,Anubis
Vanwyrm Cryst,Penking,Anubis
Vanwyrm Cryst,Grintale,Anubis
Dinossom,Elizabee,Anubis
Dinossom,Warsect ,Anubis
Dinossom,Quivern Botan,Anubis
Dinossom Lux,Elizabee,Anubis
Dinossom Lux,Warsect ,Anubis
Dinossom Lux,Quivern,Anubis
Dinossom Lux,Quivern Botan,Anubis
Dinossom Lux,Selyne,Anubis
Frostallion,Felbat,Anubis
Frostallion Noct,Vaelet,Anubis
Mammorest,Broncherry,Anubis
Mammorest,Broncherry Aqua,Anubis
Mammorest,Caprity Noct,Anubis
Mammorest,Fenglope Lux,Anubis
Mammorest Cryst,Broncherry,Anubis
Mammorest Cryst,Broncherry Aqua,Anubis
Mammorest Cryst,Celaray,Anubis
Mammorest Cryst,Caprity Noct,Anubis
Felbat,Astegon,Anubis
Felbat,Orserk,Anubis
Broncherry,Warsect Terra,Anubis
Faleris,Arsox,Anubis
Faleris,Foxcicle,Anubis
Faleris,Chillet Ignis,Anubis
Faleris,Petallia,Anubis
Blazamut,Wixen Noct,Anubis
Blazamut,Kikit,Anubis
Blazamut Ryu,Wixen Noct,Anubis
Blazamut Ryu,Kikit,Anubis
Caprity,Lyleen Noct,Anubis
Caprity,Beakon,Anubis
Caprity,Silvegis,Anubis
Reindrix,Lyleen,Anubis
Reindrix,Warsect Terra,Anubis
Reindrix,Menasting,Anubis
Reindrix,Menasting Terra,Anubis
Reindrix,Knocklem,Anubis
Reindrix,Xenolord ,Anubis
Shadowbeak,Beegarde,Anubis
Sibelyx,Blazehowl,Anubis
Sibelyx,Katress,Anubis
Sibelyx,Katress Ignis,Anubis
Sibelyx,Nitemary,Anubis
Wixen Noct,Bellanoir,Anubis
Wixen Noct,Bellanoir Libero,Anubis
Lovander,Lyleen Noct,Anubis
Lovander,Beakon,Anubis
Lovander,Helzephyr,Anubis
Lovander,Silvegis,Anubis
Mozzarina,Lyleen,Anubis
Mozzarina,Beakon,Anubis
Mozzarina,Menasting Terra,Anubis
Mozzarina,Faleris Aqua,Anubis
Wumpo,Blazehowl Noct,Anubis
Wumpo,Katress,Anubis
Wumpo,Katress Ignis,Anubis
Wumpo,Dazemu,Anubis
Wumpo Botan,Blazehowl Noct,Anubis
Wumpo Botan,Bushi Noct,Anubis
Wumpo Botan,Dogen,Anubis
Wumpo Botan,Dazemu,Anubis
Vaelet,Jetragon,Anubis
Vaelet,Paladius,Anubis
Nitewing,Rayhound,Anubis
Nitewing,Blazehowl,Anubis
Nitewing,Shroomer,Anubis
Nitewing,Shroomer Noct,Anubis
Nitewing,Splatterina,Anubis
Nitewing,Kitsun Noct,Anubis
Lyleen,Dumud,Anubis
Lyleen,Lullu,Anubis
Lyleen Noct,Yakumo,Anubis
Elizabee,Chillet,Anubis
Elizabee,Celesdir,Anubis
Elizabee,Tarantriss,Anubis
Elizabee,Loupmoon Cryst,Anubis
Beegarde,Jetragon,Anubis
Beegarde,Paladius,Anubis
Beegarde,Necromus,Anubis
Tombat,Mossanda Lux,Anubis
Tombat,Sweepa,Anubis
Tombat,Ragnahawk,Anubis
Tombat,Azurmane,Anubis
Mossanda,Blazehowl,Anubis
Mossanda,Katress,Anubis
Mossanda,Shroomer,Anubis
Mossanda,Shroomer Noct,Anubis
Mossanda,Nitemary,Anubis
Mossanda,Splatterina,Anubis
Mossanda Lux,Rayhound,Anubis
Mossanda Lux,Foxcicle,Anubis
Arsox,Warsect ,Anubis
Arsox,Quivern,Anubis
Arsox,Quivern Botan,Anubis
Arsox,Selyne,Anubis
Arsox,Prixter,Anubis
Arsox,Starryon,Anubis
Rayhound,Sweepa,Anubis
Rayhound,Azurmane,Anubis
Astegon,Verdash,Anubis
Verdash,Orserk,Anubis
Verdash,Cryolinx Terra,Anubis
Verdash,Bastigor,Anubis
Foxcicle,Ragnahawk,Anubis
Foxcicle,Azurmane,Anubis
Blazehowl,Kingpaca Cryst,Anubis
Blazehowl,Xenogard,Anubis
Blazehowl Noct,Kingpaca,Anubis
Blazehowl Noct,Cinnamoth,Anubis
Blazehowl Noct,Xenovader,Anubis
Kingpaca,Katress Ignis,Anubis
Kingpaca,Dogen,Anubis
Kingpaca,Dazemu,Anubis
Kingpaca Cryst,Katress,Anubis
Kingpaca Cryst,Katress Ignis,Anubis
Kingpaca Cryst,Shroomer,Anubis
Kingpaca Cryst,Nitemary,Anubis
Sweepa,Shroomer,Anubis
Sweepa,Shroomer Noct,Anubis
Sweepa,Splatterina,Anubis
Sweepa,Kitsun Noct,Anubis
Katress,Xenogard,Anubis
Katress Ignis,Xenovader,Anubis
Warsect ,Chillet,Anubis
Warsect ,Chillet Ignis,Anubis
Warsect ,Croajiro,Anubis
Warsect ,Celesdir,Anubis
Warsect ,Loupmoon Cryst,Anubis
Warsect Terra,Celaray,Anubis
Warsect Terra,Caprity Noct,Anubis
Penking,Bushi,Anubis
Penking,Omascul,Anubis
Chillet,Quivern,Anubis
Chillet,Quivern Botan,Anubis
Chillet,Selyne,Anubis
Chillet,Prixter,Anubis
Chillet Ignis,Quivern,Anubis
Chillet Ignis,Quivern Botan,Anubis
Chillet Ignis,Selyne,Anubis
Chillet Ignis,Prixter,Anubis
Chillet Ignis,Starryon,Anubis
Quivern,Petallia,Anubis
Quivern,Croajiro,Anubis
Quivern,Loupmoon Cryst,Anubis
Quivern Botan,Croajiro,Anubis
Quivern Botan,Celesdir,Anubis
Quivern Botan,Loupmoon Cryst,Anubis
Helzephyr,Yakumo,Anubis
Ragnahawk,Petallia,Anubis
Bushi,Grintale,Anubis
Bushi,Cinnamoth,Anubis
Bushi Noct,Grintale,Anubis
Bushi Noct,Cinnamoth,Anubis
Celaray,Menasting,Anubis
Celaray,Knocklem,Anubis
Celaray,Xenolord ,Anubis
Petallia,Prixter,Anubis
Petallia,Starryon,Anubis
Grintale,Omascul,Anubis
